timestamp,cpu_user_pct,cpu_system_pct,cpu_idle_pct,context_switches,available_mem_kb,major_page_faults,label
1772018909.58,0.5,1.5,97.5,286,2553492,1,2
1772018910.59,0.5,1.5,98.0,233,2513172,0,2
1772018911.59,0.5,1.0,98.0,205,2472852,10,2
1772018912.59,1.0,2.0,97.0,351,2432540,0,2
1772018913.59,2.5,1.5,95.9,411,2414900,0,2
1772018914.59,1.5,1.5,97.0,387,2375344,2,2
1772018915.59,0.0,1.5,98.5,195,2335528,8,2
1772018916.59,0.5,1.0,98.5,210,2296468,1,2
1772018917.59,0.5,1.0,98.5,176,2253628,0,2
1772018918.60,0.5,1.0,98.5,314,2213820,3,2
1772018919.60,0.5,2.0,97.5,312,2174004,4,2
1772018920.60,0.0,8.1,91.9,171,2004092,0,2
1772018921.60,0.5,1.0,98.5,250,2004092,0,2
1772018922.60,0.5,1.0,98.5,213,2004092,0,2
1772018923.60,0.5,2.0,97.5,699,2004092,0,2
1772018924.60,0.5,3.1,96.4,1213,1973096,0,2
1772018925.60,0.5,2.5,97.0,1010,1934036,0,2
1772018926.60,0.0,1.0,99.0,417,1918404,4,2
1772018927.60,1.0,3.0,95.0,692,1877288,79,2
1772018928.61,0.0,2.0,98.0,287,1839028,4,2
1772018929.61,0.5,3.5,95.0,596,1803876,92,2
1772018930.61,0.5,1.0,98.5,356,1763556,3,2
1772018931.61,0.5,1.5,98.0,202,1723740,0,2
1772018932.61,0.0,1.0,99.0,220,1683924,0,2
1772018933.61,0.5,2.6,92.9,1424,1640348,533,2
1772018934.61,0.5,2.5,96.0,548,1600856,128,2
1772018935.61,0.5,2.0,97.5,216,1560600,5,2
1772018936.61,0.0,0.5,99.5,188,1520532,0,2
1772018937.62,0.5,2.0,97.5,357,1480516,0,2
1772018938.62,0.5,1.0,98.5,295,1440688,0,2
1772018939.62,0.5,1.0,98.5,238,1408936,0,2
1772018940.62,0.0,1.0,99.0,204,1369120,0,2
1772018941.62,0.5,1.0,98.5,192,1329304,0,2
1772018942.62,0.5,1.0,98.5,211,1290244,0,2
1772018943.62,0.0,1.5,98.0,267,1250428,0,2
1772018944.62,0.5,1.5,98.0,235,1210696,0,2
1772018945.62,0.0,1.0,99.0,330,1188188,21,2
1772018946.63,0.5,2.0,97.5,232,1168404,0,2
1772018947.63,0.5,5.0,94.5,210,2523156,0,0
1772018948.63,0.0,0.0,100.0,289,2539284,0,0
1772018949.63,0.5,0.5,98.5,308,2548440,1,0
1772018950.63,0.0,0.0,100.0,207,2556900,0,0
1772018951.63,0.5,0.5,99.0,238,2564724,0,0
1772018952.63,0.5,0.5,99.0,204,2572788,0,0
1772018953.64,0.0,0.0,100.0,205,2580852,0,0
1772018954.64,0.5,0.5,99.0,229,2588908,1,0
1772018955.64,0.0,0.0,100.0,187,2605036,0,0
1772018956.64,0.5,0.5,99.0,164,2605036,0,0
1772018957.64,0.0,0.0,100.0,229,2614536,1,0
1772018958.64,0.5,0.5,99.0,255,2621852,0,0
1772018959.64,0.0,0.0,100.0,210,2628492,0,0
1772018960.64,0.5,0.5,99.0,188,2634080,0,0
1772018961.64,0.0,0.0,100.0,185,2638972,0,0
